"","variable","Heuchera_longiflora_avg"
"1",2,6.58661704453033e-06
"2",2.75,0.000204898798811021
"3",3.5,0.000472497598264279
"4",4.25,0.00596693354186444
"5",5,0.0208447809265208
"6",5.75,0.0192995829580818
"7",6.5,0.0618446758522175
"8",7.25,0.103687458556344
"9",8,0.107810820513728
"10",8.75,0.0517247778275258
"11",9.5,0.141488665197316
"12",10.25,0.0903224777959998
"13",11,0.0718552925795985
"14",11.75,0.0885607124460952
"15",12.5,0.062265627708801
"16",13.25,0.0495030328147592
"17",14,0.0372633905388756
"18",14.75,0.0306545440606532
"19",15.5,0.0105790973751034
"20",16.25,0.0150775585283864
"21",17,0.0108793468423094
"22",17.75,0.00498475653974263
"23",18.5,0.00408276324257006
"24",19.25,0.00339458367484252
"25",20,0.00260207646228307
"26",20.75,0.00164883755284751
"27",21.5,0.000841639859045497
"28",22.25,0.000817917213940498
"29",23,0.000439097329260445
"30",23.75,0.000198616635431774
"31",24.5,0.000227353262756934
"32",25.25,8.47330614857539e-05
"33",26,0.000192345178427836
"34",26.75,8.53891369792666e-05
"35",27.5,2.89117435839316e-05
"36",28.25,3.15435961075541e-05
"37",29,8.06815946761731e-06
"38",29.75,5.25238081723647e-06
"39",30.5,1.2330034497127e-05
"40",31.25,1.02585761235771e-06
"41",32,0
"42",32.75,0
"43",33.5,0
"44",34.25,0
"45",35,0
"46",35.75,0
"47",36.5,0
"48",37.25,0
"49",38,0
"50",38.75,0
